power_output,radiation,time
27411,7.33,1534941000.0
26952,7.19,1534941300.0
26439,7.0,1534941600.0
25875,6.89,1534941900.0
25443,6.78,1534942200.0
24844,6.63,1534942500.0
24308,6.44,1534942800.0
23605,6.3,1534943100.0
22856,6.11,1534943400.0
22287,5.98,1534943700.0
21737,5.82,1534944000.0
20930,5.58,1534944300.0
20199,5.47,1534944600.0
19460,5.16,1534944900.0
18758,5.1,1534945200.0
18144,4.79,1534945500.0
17434,4.53,1534945800.0
16505,4.26,1534946100.0
15775,4.8,1534946400.0
15014,3.89,1534946700.0
14281,3.61,1534947000.0
13451,3.43,1534947300.0
12669,3.21,1534947600.0
11838,2.99,1534947900.0
10883,2.82,1534948200.0
10134,2.64,1534948500.0
9483,2.49,1534948800.0
8753,2.33,1534949100.0
8002,2.18,1534949400.0
7325,2.2,1534949700.0
6607,1.81,1534950000.0
5891,1.64,1534950300.0
5350,1.46,1534950600.0
4793,1.27,1534950900.0
4214,1.9,1534951200.0
3648,0.43,1534951500.0
3150,0.38,1534951800.0
2689,0.33,1534952100.0
2231,0.31,1534952400.0
1786,0.28,1534952700.0
1422,0.25,1534953000.0
1107,0.22,1534953300.0
794,0.18,1534953600.0
520,0.15,1534953900.0
372,0.12,1534954200.0
260,0.9,1534954500.0
154,0.6,1534954800.0
63,0.4,1534955100.0
5,0.2,1534955400.0
0,0.1,1534955700.0
0,0.2,1534956000.0
0,0.3,1534956300.0
0,0.4,1534956600.0
0,0.3,1534956900.0
0,0.4,1534957200.0
0,0.4,1534957500.0
0,0.3,1534957800.0
0,0.3,1534958100.0
0,0.3,1534958400.0
0,0.3,1534958700.0
0,0.3,1534959000.0
0,0.3,1534959300.0
0,0.4,1534959600.0
0,0.3,1534959900.0
0,0.3,1534960200.0
0,0.2,1534960500.0
0,0.2,1534960800.0
0,0.2,1534961100.0
0,0.3,1534961400.0
0,0.4,1534961700.0
0,0.4,1534962000.0
0,0.2,1534962300.0
0,0.2,1534962600.0
0,0.3,1534962900.0
0,0.3,1534963200.0
0,0.2,1534963500.0
0,0.3,1534963800.0
0,0.2,1534964100.0
0,0.2,1534964400.0
0,0.2,1534964700.0
0,0.2,1534965000.0
0,0.2,1534965300.0
0,0.2,1534965600.0
0,0.1,1534965900.0
0,0.2,1534966200.0
0,0.1,1534966500.0
0,0.2,1534966800.0
0,0.2,1534967100.0
0,0.3,1534967400.0
0,0.3,1534967700.0
0,0.2,1534968000.0
0,0.2,1534968300.0
0,0.2,1534968600.0
0,0.2,1534968900.0
0,0.2,1534969200.0
0,0.3,1534969500.0
0,0.1,1534969800.0
0,0.2,1534970100.0
0,0.2,1534970400.0
0,0.1,1534970700.0
0,0.2,1534971000.0
0,0.2,1534971300.0
0,0.1,1534971600.0
0,0.1,1534971900.0
0,0.1,1534972200.0
0,0.2,1534972500.0
0,0.2,1534972800.0
0,0.2,1534973100.0
0,0.1,1534973400.0
0,0.1,1534973700.0
0,0.2,1534974000.0
0,0.1,1534974300.0
0,0.1,1534974600.0
0,0.1,1534974900.0
0,0.1,1534975200.0
0,0.1,1534975500.0
0,0.2,1534975800.0
0,0.1,1534976100.0
0,0.2,1534976400.0
0,0.1,1534976700.0
0,0.1,1534977000.0
0,0.1,1534977300.0
0,0.1,1534977600.0
0,0.1,1534977900.0
0,0.1,1534978200.0
0,0.1,1534978500.0
0,0.2,1534978800.0
0,0.0,1534979100.0
0,0.0,1534979400.0
0,0.1,1534979700.0
0,0.1,1534980000.0
0,0.0,1534980300.0
0,0.0,1534980600.0
0,0.1,1534980900.0
0,0.0,1534981200.0
0,0.0,1534981500.0
0,0.2,1534981800.0
0,0.1,1534982100.0
0,0.1,1534982400.0
0,0.1,1534982700.0
0,0.1,1534983000.0
0,0.1,1534983300.0
0,0.1,1534983600.0
0,0.1,1534983900.0
0,0.0,1534984200.0
0,0.0,1534984500.0
0,0.0,1534984800.0
0,0.0,1534985100.0
0,0.1,1534985400.0
0,0.1,1534985700.0
0,0.1,1534986000.0
0,0.1,1534986300.0
0,0.0,1534986600.0
0,0.1,1534986900.0
0,0.0,1534987200.0
0,0.0,1534987500.0
0,0.0,1534987800.0
0,0.0,1534988100.0
0,0.0,1534988400.0
0,0.1,1534988700.0
0,0.0,1534989000.0
0,0.0,1534989300.0
0,0.0,1534989600.0
0,0.1,1534989900.0
0,0.0,1534990200.0
0,0.0,1534990500.0
0,0.0,1534990800.0
0,0.0,1534991100.0
0,0.1,1534991400.0
0,0.2,1534991700.0
0,0.1,1534992000.0
0,0.0,1534992300.0
0,0.0,1534992600.0
0,0.1,1534992900.0
0,0.2,1534993200.0
0,0.3,1534993500.0
0,0.5,1534993800.0
7,0.8,1534994100.0
42,0.11,1534994400.0
205,0.15,1534994700.0
322,0.18,1534995000.0
481,0.21,1534995300.0
755,0.25,1534995600.0
1081,0.28,1534995900.0
1428,0.36,1534996200.0
1823,0.86,1534996500.0
2389,1.2,1534996800.0
2993,1.17,1534997100.0
3535,1.32,1534997400.0
4125,1.48,1534997700.0
4825,1.67,1534998000.0
5512,1.87,1534998300.0
6293,2.8,1534998600.0
7036,2.27,1534998900.0
7759,2.47,1534999200.0
8525,2.66,1534999500.0
9296,2.85,1534999800.0
10100,3.5,1535000100.0
10908,3.24,1535000400.0
11714,3.44,1535000700.0
12503,3.65,1535001000.0
13371,3.85,1535001300.0
14244,4.9,1535001600.0
15196,4.3,1535001900.0
16015,4.48,1535002200.0
16825,4.72,1535002500.0
17650,4.92,1535002800.0
18388,5.13,1535003100.0
19196,5.36,1535003400.0
19978,5.54,1535003700.0
20720,5.73,1535004000.0
21430,5.95,1535004300.0
22181,6.11,1535004600.0
22868,6.3,1535004900.0
23502,6.47,1535005200.0
24147,6.69,1535005500.0
24805,6.82,1535005800.0
25418,7.4,1535006100.0
26072,7.21,1535006400.0
26627,7.34,1535006700.0
27176,7.5,1535007000.0
27751,7.75,1535007300.0
28290,7.85,1535007600.0
28708,7.97,1535007900.0
29129,8.1,1535008200.0
29668,8.26,1535008500.0
30136,8.38,1535008800.0
30501,8.48,1535009100.0
30869,8.57,1535009400.0
31299,8.72,1535009700.0
31649,8.85,1535010000.0
32025,9.7,1535010300.0
32534,9.17,1535010600.0
32873,9.27,1535010900.0
33146,9.35,1535011200.0
33386,9.41,1535011500.0
33595,9.52,1535011800.0
33884,9.7,1535012100.0
34134,9.75,1535012400.0
34353,9.83,1535012700.0
34660,9.92,1535013000.0
34872,10.3,1535013300.0
35007,10.3,1535013600.0
35054,10.6,1535013900.0
35078,10.11,1535014200.0
35364,10.24,1535014500.0
35529,10.3,1535014800.0
35650,10.35,1535015100.0
35586,10.35,1535015400.0
35629,10.35,1535015700.0
35644,10.36,1535016000.0
35576,10.44,1535016300.0
35620,10.46,1535016600.0
35650,10.39,1535016900.0
35745,10.5,1535017200.0
35932,10.56,1535017500.0
36008,10.48,1535017800.0
35974,10.45,1535018100.0
35861,10.42,1535018400.0
36030,10.47,1535018700.0
36034,10.44,1535019000.0
35906,10.4,1535019300.0
35690,10.27,1535019600.0
35388,10.22,1535019900.0
35240,10.15,1535020200.0
35093,10.18,1535020500.0
35134,10.1,1535020800.0
35032,10.11,1535021100.0
34904,10.5,1535021400.0
34607,9.97,1535021700.0
34487,9.9,1535022000.0
